Platform,Module,Feature,Sub - Feature,Description,Estimated Demo Dates
Sprint 20 - FIFA Most Urgent Features,,,,,
Vendor Platform,Fixed Cost Model ,Product Management,Add Service,"Product Management –  Add Service with Fixed Rate Model
 - Define Fixed Rate pricing model (Daily / Weekly / Monthly)
",24 Feb
,,,Variant,Fixed cost model Field,
,,Order Management,New UI enhancement,order creation ,2 Mar
,,,Fixed Cost Service Worksheet (Day/Week/Month),"Currently, daily services are treated as rentals, which limits support for:

- Shifts
- Assignees
- Clock-in / clock-out
- Overtime tracking

The updated requirement is to reclassify fixed cost services as Services, while preserving rentals as a separate model for products and packages.",27 Feb
,,Invoice Management,Complete UI Enhancement,,4 March
,,,Fixed Cost Daily Invoice,"Currently, daily, services are treated as rentals, which limits support for:

- Shifts
- Assignees
- Clock-in / clock-out
- Overtime tracking

The updated requirement is to reclassify fixed cost services as Services, while preserving rentals as a separate model for products and packages.",4 March
RT App & Web Platform,Fixed Cost Model,Order ,"Fixed Cost Service Impact 
(As we are adding the new service which will require new logic which will be having the new attributes for example mininum daily rate, Daily overtime base rate. due to which we need to map the implementation on the following modules)","Add to Order 
          - Preview shift
          - Cart (Item list, Add more Item)
          - View shift (Worksheet)
          - Edit shift
          - Bill Detail 
          - Price Breakup
          - MY Order (Card)
          - Order detail page
          - Order Request 
          - Vendor Request
          - Return Request
          - Existing Order (Add Items)
          - Scheduler API syncing for fixed cost service (Client and Vendor)
 - Order Cancellation Flow",27 Feb
,,,Fixed Cost Order update,Fixed Cost service will have diiferent logic and attributes so require functionality and UI implentation,
,,Store,Impact On Service card due to new keys to be mapped of fixed cost service,,
,,Invoice,Fixed cost services invoices,Fixed Cost service Invoice will have diiferent logic and attributes so require functionality and UI implentation,10 March
,,,Impact of Fixed cost," Initial Invoice on order place (Paid/Unpaid tab)
          - PDF updates
          - Invoice listing, detail, worksheet, price breakup and bill detail
- Past Order and Fixed Cost order will have different attributes ",10 March
,,Payment,"Impact on payment for the Invoice and new enhancement in Order
(Past Order )",,
,,Return Refund ,"Impact of New Fixed Cost Order Service and the Cancellation
",,
,Roles management Impact and Integration to the product ,"Entities Dashboards
Finance
Side Menu 
Chat
Orders
Risk Center","Implementing  end to end roles and permission  
Manging previous data ",,
,,Order Approval,"1. Order Approval Setting 
from Production which will be same for Studio and other child entities
2. Add, remove Approver/Payer
3. Approval request - Accept/reject",,10 March
,,Invoice Approval,Invoice Approval should be linked with Order Approval as impact due to New Roles implementation,,10 March
,,Profile,"User Profile
- View Details
- Work History
- Action
 -- Deactivate Account
 -- Leave the Show
 -- Inactive Show",,4 March
,,,"Other User Profile
- View Details
- Work History
- Action
 - Remove From the Show
 - Edit the Work Permissions",,
,,Manage Entities,"From Detail and Dashboard Page
 - Implementation of Roles to the entities
 - Transfer Ownership
 - Remove Contact/Crew
 - Change the Permissions
Note: The Manage should be on Following Entities
 - Studio
 - Prodcution
 - Episode
 - Set
 - Location
- Department",,4 March
,,Department Detail Page,Studio department detail - impact of New Roles on department,,
Web Platform,,,,,
All Platforms,Invoice Hourly Service Bugs,Invoicing Not Started handling,"Default behavior of Not Started shift should be:
- Needs Review status
- Time inputs are – by default
This allows accountant to make edits faster (typically, mark not billable)",,
,,Generated Invoice Preview Issues,"On the View Invoice (preview):
- Order ID should be linked to order- Analysis Needed
- Billing period incorrect 
- the PO number is missing on the desktop preview (present on the actual order) — NOTE, the PDF DOES have the PO number somehow
- Status on the order does not show that an invoice has been generated on one or more items.",,
,,Client Invoice Totals and Breakdown incorrect,,,
,,“Needs Review” Line Item Handling on Generate Invoice,"When a user selects a group of line items for invoice generation, and one or more have the status “Needs Review”,
    - **Current behavior:**
        - No feedback to the user, only the resolved shifts are visible in the generated invoice
        - Why this is bad: the accountant may accidentally not bill for a shift, they have no feedback that items require changes, etc.
    - **The expected behavior would be:**
        - User is warned that one or more items have a status of 'needs review'
            - Actions:
                - Cancel — go back to invoice management view
                - Continue — proceed without the needs review shifts. It needs to be clear to the user that these shifts will not be included in the invoice (need to be handled first)
        - User should have been able to deselect the shift to not include it.",,
,,Invoicing Comped Shift,"Comped Shift:
    - The system should be subtracting from the total and should show the deduction in the billing details at the bottom.",,
,,Link order in invoice item cards,Order id looks like a link but is not clickable. need to make it easy for user to get back to the original order,,
,,Add production name to invoice card,In Progress,,
,,Shift at 12 reg hours flagged as needs review?,Discussion required,,
,,Line item headers need to be sticky (not just service level),Handled this In New UI,,
,,Invoice dates are still incorrect,does not match the shifts service dates — see previous discussion and notes on this,,
,,Invoice Card Price Breakdown Previews are broken (Prod desktop),"From the invoice view, some of the invoice price breakdowns do not open correctly. 

When I click on the order and tap the “View Price Breakdown” link, the modal does open, showing the price.

Note also that the modal should be the same as the link name “View Price Breakdown” (NOT breakdown).",,
,,Update Vendor columns/data in Outstanding Invoice and Past Due Invoice,Design enhancement  - update column headers and data on the Outstanding and Past Due tabs,,
,,Update line item details in invoice view shifts,"- remove line item start and end time
- display ACTUAL hours",,
,,Invoice dates do not match the dates of the line items,Display Actual dates,,
,,"Invoices cards in Production app should include production name, make the invoice number less prominent?? UI for discussion",Design work,,
,,Past Due Invoices should be included in the Outstanding Invoice View,"Handle with the New Invoice UI
Do not like having to go to two different tabs to see a client invoice status across multiple statuses. Ever would prefer to see all outstanding, including past due, in the Outstanding bucket. 
Add a status column showing Past Due, Current, Dispute that would be filterable.
Also allow filtering by client.
I think we should still highlight the past due count and I like the filtered view, as long as the past due are also contained in the outstanding bucket.
Needs analysis and redesign for optimal ux.",,
,,Order + Invoice Management view should include order/service dates in columns,"When comparing invoices against orders, it is really hard to track down the correct order because we do not show the order dates on the main order management view, requiring the user to click into multiple orders to find one service item.",,
,,"Hard to tell when shifts do not match expected duration, requiring a lot of clicking in to check the schedule details",Handle with the New Invoice UI,,
,,Needs Review status present even if regular hours match expected duration — should change to resolved,"The Resolved status should reflect when the shift regular time is updated to the Expected Duration. In this scenario, the guard worked the expected shift duration however, on edit of 9.58 to 9.5 expected duration, the shift remained as needs review. Should be “resolved”",,
,,"Invoicing Service Grouping should be by role, not by specific times/shift-type"," Handle with the New Invoice UI - Ever would prefer to see one grouping per role type, not additional groupings by order or service hours or shift type. He really cares mostly about viewing line items grouped by role (ie seeing all the production guards together) rather than having multiple groupings of the same service type.",,
,,Invoicing billing cycle does not match Client Billing Setting,"The invoicing view defaults to weekly even if you have the billing settings different in client management. It should always honor what the setting is in client management. For Upon Completion and By Set we would expect to see all line items sorted by date, grouped by set.",,
,,Vendor cannot make night shift 1 hour early due to day/night boundary?,"The production made several changes yesterday for today. This shift was created yesterday for 3pm-12am and they later made an adjustment to which i needed to start him 1 hour earlier and i couldn't. Below are 2 screenshots, 1 from the edit view and the other from the shift details view.",,
,,Add Return Request action on order details,Add the Request Return button/action on the Order Details screen (not only on the kebab). This action would be available only after the purchase item is picked up or delivered.,,
,,Timezones,,,
,,"Ability to view worksheet for each service/rental product based on name, time, units, duration,costs",Discussion required with Hanna what we can show instead of No Assignee and what Role name should be displayed,,
,,View price- breakup,Will work with the Updated bill details ,,
,,Invoice UI feedback,"Design Required, we will fix in sprint 20",,
,Order Bugs,Extend service should not be restricted if the reference shift is in the past,Implementing this with the New Order UI,,
,,Extend Shifts UI/UX Improvements,Implementing this with the New Order UI,,
,,Bill Details not reflecting all items and UX is confusing,,,
,,Adding to an existing order is very hard and time consuming,Implementing this with the New Order UI,,
,,Vendor Product Tax Categories are confusing,"We are confused about the “Product Tax Categories” and how this works — is it looking to the branch location? Does this account for if the business is in a different country? Is this set up in a way that stripe does this automatically based on the business location?

Also, please look at linking a resource (possibly stripe) for providing the user details on how they should tax categorize items they are unsure about.",,
,,Holiday Rate dates not populating,"- The holiday names are not populating from the API
- Once names populate, they should be editable
- Dates are off by 1
- Missing the info text “Holiday rate is the factor of base price (e.g. 1.5x)” under the heading for holidays
- Update “Holiday Rate” to “Rate Factor”
- Does not match mocks
- Update from mocks “First 8 hours” to be Regular Factor, “Over 8 hours” to be “Overtime Factor” and this should reference the RT/OT thresholds per service",,
,,Second column finance data scaled incorrectly,Finance Bar graph issue ,,
