Milestone 1(Complete prelogin),Date of delivery
User,27/07/2021
Project plan,
Admin Wireframe scatches,
Server setup,
API Project Setup,
Database setup,
Login,
Signup,
How screen UI only,
Admin,
Login,
Milestone 2(Order Booking without payment),
Forgot password,08/01/2021
Change password,
Home screen see all added categories,
see complanieas added to categories,
Upload documents,
Profile,
Admin/Delivery,
User listing,
Add categories,
Categories Listing,
Added Compaies in Categories,
Companies listing,
Milestone 3(,
Send request for loan,08/06/2021
Loan request history,
Chat ,
Logout ,
Settings,
Notifications,
Admin,
See all request,
Approve loan,
Chating ,
Notificatins,
,
Note: Following the Scope of work for implementing all the features.,
