Consolidated Report,,,,,
Total Paramters,,,,,
Prameters Passed,,,,,
Parameters Failed,,,,,
Quality score,,,,,
,,,,,
Technology,Name,Version,,3rd Parties,Comments
Language,Node,,,,
Framework,Nest,7.x,,,2.0.1
Database,Postgress,,,,
ORM ,Sequelize,,,,
Caching,Redis,,,,
Queue,rabbitmq,,,,
Logging,sentry-apollo-plugin,,,,
Parameter,Review Pointers,Implementation Status,Detailed Description,Suggestions/Solution,Document/Attachement Link
Architecture & Design Pattern ,Microservice Architecture ,Yes,The Architecture used in the project is monolithic or microservice?,,
,Database Modeling,Yes,Does code have database models available?,,
,Use of MVC pattern,N/A,Model view controller pattern used in the codebase?,,
,Framework Used,Yes,Does any framework used in the project?,NestJs,
,Routing Methods,Yes,Does correct routing methods used in the project.,NestJs GraphQL single route used,
,Object Oriented Programming,Yes,Does code follow object oriented paradigm?,,
,Typescript,Yes,Is typescript used in the project?,,
,readme.md file,Yes,Readme md file is available to setup the whole codebase with the techologies used?,Only standard readme files for packages present,
,API Documentation,N/A,"API documentation available ? It is required for developers to  understand api structure, payload and response?",Cant find any documentation,
,FIle and Folder Organization,Yes,Does codebase is organized in well defined file and folder structure,Files are organized as per app structure,
Coding Convention & Practices,Request Validations,No,Does request validation implemented in the project. It is used for validating the request payload,,
,Error Handing,Yes,Does error handling gracefully placed in the project. Errors like fatal erros stopped the server abruptly.,,
,Code Commenting,Yes,Code Commenting is important in project. If gives glimpse of what the function or class is written for. It also guides developers to understand the code.,Comment on critical places are present,
,API Versioning,N/A,API versioning is used to change or extend functionality and provide backward compatibility ,,
,Response Validations,No,Does response validation added in the project. It is used to validate the response going to client.,,
,Naming Convention,Yes,"Does code written follow the well defined naming convention of variables, constants, Consistency, Meaningful description, Pronouncable name",Naming conventions are good and consistent,
,Reusability,Yes,"Does code has resuable code, Code should be written in functional block and should have ability to be reused in the project.",Many generic modules and function writted and used,
,Indentations,Yes,Corrent code formatting is implemented ?,pep8 guidelines followed,
,Portability (Hard Coded Values),N/A,Code should not have any hard coded values added directly in code. everything should be managed from configs,,
,Use of Async/Await,Yes,Async await used to simplify the syntax and avoid implementing callback hell in the project.,,
Database,Availability of database schema,Yes,Does database schema available for database understanding and relationship in form of ERD diagram ,Database model and dml/ddl script also present,
,Database Indexing,N/A,Does indexing implemented in database to enhance queries performance.,,
,Database Migrations,N/A,Does database changes done using migration files ? It is considered as good practice in enterprise applications,,
,Usage of Foreign Key ,N/A,Does foreing key defined ?,,
,ORM or ODM Used,Yes,Any ORM or ODM used in the project. ,Sequelise ORM,
,Sql Injections resilience,Yes,Does query written are resilent to sql injections.,Sequelize ORM used,
