Issue,Screen Nmae,,Nitin Comment
"While login with invalid credentials then it show english alert message. "" Mobile number is not registered with us"" it should be ""Either mobile number and password is wrong""",Login,"Sir, In this case user is performing login action and as per knowledge we should show message that something is wrong with the credential, and ""Mobile number not registered"" is perfect with when we are recovering password.""","Rahul Please explain whats wrong in this message, if the mobile number is not registered, that what wrong in this alert. "
"""Sign up as a "" screen patient name is wrong",Sign up as a,,
Sign up Text is merging with icons,Sign up Patient,,
Alignment is not proper for slelect country city and region then should be properly aligned.,sign up patient,,
"On selecting country and city, country and city are not visible in field.",Sign up patient,,
For uncheck Terms and condition checkbox it show unmatch message from arabic document.,Sign up patient,Sir this message is different in document provided by client.,Please specifiy whats wrong in the message
For blank city and region on sign up it show message of address field in arabic language.,Signup patient,,
Patient > On sign up with already registered number and email alert message are in english.,Sign up,,
On verifying invalid otp it show alert message in english,Sign up/ Phone number verification,,
On mobile number verified successfully it show me pop in english and congratulation text is different from given excel.,Signup/ congratulation message.,,
Side menu emergency contact is not correct.,home/side menu,,
Side menu credits text is not correct in arabic language.,home/side menu,My bad this issue is not valid,Please specify whats wrong
In hospitals > it show 2kms wrong text in arabic language.,Home/Hospitals,,
Hospitals details text 2kms away is not in arabic language.,Home/Hospitals details,,
"Departments, service, and doctors are in english.",Home/Hospitals Details,,
On cases if there is no case then it show continously a loader.,side menu ,,
Add patient is not working properly.,settings,,
contact support is not working.,Settings,,
Basic information > Except about us nothing is working.,Settings,,
Please remove logout button from settings.,settings,,
Notification text does not changed in arabic on chaging language.,Doctor and patient app,,
Appointments > Reset filter is not working.,Doctor application,,
"After changing language from arabic to english from settings, it still appointment time & month name in arabic language.
This issues might be device specific because happening on one device out of two.",Appointments and prescription.,Device : 1+2 office device and anil personal device,Please specify the device and also specify what is some data which is not displayed.
Privacy policy and terms of use section in settings are not responding on tapping.,Settings/Doctor app,,
My appointments and prescription tab bar lift upward with keypad.,Doctor app,,
