TRD Ref,Requirement,Your Response,Assumptions,Status
Frontend ,,,,
FR-001,Framework: React Native 0.76+ with New Architecture + TS 5.6+,"Delivered with RN 0.76+, Fabric + TurboModules enabled, strict TypeScript 5.6+",Client confirms RN 0.76+ baseline,Comply
FR-002,"Video capture: 1080p, compression 30–50MB, trimming/retake, resumable uploads",`react-native-vision-camera` + `ffmpeg-kit`. Compression tuned to 3–5 Mbps. Resumable uploads via WorkManager (Android) + URLSession (iOS) with S3 multipart,Client provides storage infra (S3/GCP/Azure),Comply
FR-003,"Payments: Stripe SDK, Apple Pay, Google Pay, Connect marketplace (15% platform commission)","Stripe RN SDK, Platform Pay APIs, Connect split flows with 15% fee; payouts automated via Stripe Connect",Apple Pay Merchant ID & Stripe Connect account setup by client,"Partial Comply
as subscriptions are not in MVP"
FR-004,"Location & Navigation (GPS, geofencing, maps, deep-links)","CoreLocation/FusedLocation, geofencing ≤250m iOS/≤300m Android. Embedded map with Mapbox/Google. Deep-linking to Apple Maps/Google Maps/Waze supported",Target region + mapping provider licensing confirmed,Comply
FR-005,Secure Storage,"iOS Keychain/Android Keystore for secrets, SQLCipher/WatermelonDB for offline data",No unencrypted PHI stored locally,Comply
FR-006,Push Notifications,APNs/FCM with action buttons; no PHI in payloads; silent pushes trigger secure fetch,Certificates/keys provided by client,Comply
FR-007,Offline mode,Encrypted local cache; conflict-safe sync; explicit “Available Offline” badge,Merge rules defined; PHI never in plaintext,"Partially Compliant, 
Not in MVP Cost, but Proposed as Optional cost"
FR-008,Specialist profile management,"Support for photos, credentials, availability, earnings, history",Client supplies credential verification APIs,Comply
FR-009,HIPAA-compliant messaging,"Signal protocol E2EE, AES-GCM encrypted file shares, read receipts, 90-day auto-delete, immutable audit logs","Clarify group vs 1:1 chat, max file size",Comply
FR-010,"Practice web dashboard (Next.js 15 + React 19, Zustand, Recharts, Tailwind v4)","Next.js 15 + RSC, Zustand, Recharts, Tailwind v4. Turbopack for performance",Client confirms infra,Comply
