Milestone 1(Complete prelogin),
User,
Project plan,Done
Admin Wireframe scatches,Done
Server setup,Done
API Project Setup,Done
Database setup,Done
Login,Done
Signup,Done
How screen UI only,Done
Admin,Done
Login,Done
Milestone 2,
Forgot password,Done
Change password,Done
Home screen see all added categories,Done
see complanieas added to categories,Done
Upload documents,Done
Profile,Done
Admin/Delivery,Done
User listing,Done
Add categories,Done
Categories Listing,Done
Added Compaies in Categories,Done
Companies listing,Done
Milestone 3,
Send request for loan,Done
Loan request history,Done
Chat ,Done
Logout ,Done
Settings,Done
Notifications,Recieved account on 1st december 
Admin,Done
See all request,Done
Approve loan,Done
Chating ,Done
Notificatins,Recieved account on 1st december 
,
Note: Following the Scope of work for implementing all the features.,
