,25,50,100,200,Journeys,,,Needs,,,,,,,,,,,,Professional Goals,,,,,,,,,,,,,,Personal Goals,,,,,,,,,,
,Mastery (Points),Freedom (Points),Legacy (Points),EXERCISES,Purpose to Plan,I Need a Job,Re-entering the Workforce,Rethinking my Career Direction,I want to make more money,I want new opportunities at my company,Seeking alignment with my company,Need more flexibility in my schedule,Exploring new job opportunities,Bored at my job,Burnt out at my job,I am not maximizing my talents,I am out of work/need job,I have a new boss,I have a new job,Define My Purpose,Self Assessment and self knowledge,Build Career Plan,Build new skills (technical or functional),Develop as a leader,Take a new stretch assignment in current org,Invest in my current network to deepen relationships with key stakeholders,My story and influence (brand),Advocate for myself in my company and the market,Understand my Value in the market,Professional works outside my day job to improve – Big Idea,Get more clients and grow my business,Fix my burnout - prioritize - org skills - time mgt - essentialism,I need a job right now,"Financial reward of my work
","Flexibility in how I am able to work
","Feeling secure in my work and low risk
","Work with people I care about
","Work where I align with the mission
","High degree of impact in my career
","Time and commitment to family
","Time and commitment to community
","Improve my physical and mental health
","Spiritual or faith life
","Traveling/Activities for pleasure 
"
,,,,solution article read - 50 ,Start Here to Build Your Career Plan,I Need a job PDQ,TBD,Rethinking my Career Direction,Making More Money is Important Now,Pursuing New Opportunities at My Company,Gaining Alignment with My Company,Making the Right Flexible Work Plan,Exploring New Job Oppotunities,Solving for Boredom,Solving for Burn Out,Maximizing My Talents,I Need a Job PDQ,Winning With a New Incoming Boss,How to Start Any New Job Well,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,freedom,freedom,freedom,freedom,freedom,freedom,freedom,freedom,freedom,freedom,freedom,freedom,legacy,mastery,legacy,mastery,mastery,freedom,legacy,mastery,freedom,freedom,mastery,mastery,freedom,freedom,freedom,freedom,freedom,freedom,freedom,freedom,freedom,freedom,freedom,freedom,freedom
,100,,,Professional Inventory S.T.A.R. Experiences *,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
,50,,,Professional Inventory Technical Skills Mastery *,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,10,10,10
,50,,,Professional Inventory: Leadership Skills Mastery*,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,11,11,11,11,11
,100,,,Professional Goals: Set Professional Goals Now*,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,9,9,9,9,9
,100,,,Professional Goals: Creating Action Plans*,,,,11,10,9,9,,12,12,12,13,,10,11,13,11,13,14,12,11,11,11,11,11,12,13,12,,10,,11,15,9,13,12,12,12,12,12
,,50,,Personal Inventory Owning My Time*,,,,,,,,6,,6,6,7,8,,6,7,12,7,,,,,,,,19,,6,8,,6,6,,,7,4,4,4,4,4
,,50,,Personal Inventory Your Location and Travel*,,,,,,,,7,,,,,7,,,8,13,8,,,,,,,,,,,7,,7,,,,8,5,5,5,5,5
,,100,,Personal Inventory & Goals*,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3
,,,,Personal Inventory: Creating your Personal Action Plans,,,,11,10,9,9,,12,12,12,13,,10,11,13,11,13,14,12,11,11,11,11,11,12,13,12,,10,,11,15,9,13,12,12,12,12,12
,,50,,Personal Goal: Financial Rewards*,,,,,6,,,8,,7,7,6,6,,,6,14,6,6,6,,,,,,,6,7,6,6,8,,,,6,,,,,
,100,,,Naming Your Values*,,,,6,7,6,6,9,6,8,8,8,9,6,7,10,6,10,8,8,6,6,6,6,6,6,7,8,9,7,9,7,6,6,10,1,1,1,1,1
,,,200,Defining Your Purpose*,,,,7,8,7,7,10,7,9,9,9,10,7,8,11,7,11,9,9,7,7,7,7,7,7,8,9,10,8,10,8,7,7,11,2,2,2,2,2
,,,100,Establishing Your Board of Advisors*,,,,8,9,8,8,11,9,10,10,10,11,8,9,9,9,9,7,7,8,8,8,8,8,8,9,10,11,9,11,9,9,8,9,7,7,7,7,7
,100,,,Roses & Thorns*,,,,,,,,,8,,,,,9,10,14,,,10,,9,9,9,,,9,10,,,,,10,8,,,8,8,8,8,8
,,200,,Your Future Vision of Success*,,,,10,11,10,10,12,,11,11,11,12,11,12,12,8,12,11,11,10,10,10,10,10,11,12,11,12,11,12,12,10,10,12,6,6,6,6,6
,,,200,Sharing Your Purpose to Plan with Others for Feedback*,,,,,18,15,14,15,17,14,14,19,,15,18,20,,19,,14,16,16,,16,,16,20,14,,18,15,19,16,14,21,14,14,14,14,14
,50,,,Accountability = Responsibility = Ownership*,,,,17,12,16,16,16,19,15,15,20,25,13,17,21,,20,16,18,17,,,19,18,,22,15,25,12,16,18,,16,22,15,15,15,15,15
,,,100,Value of Good Coaching*,,,,18,13,12,11,14,18,16,16,15,15,16,16,18,15,14,17,13,14, ,,17,17,15,,16,15,13,14,17,17,11,14,16,16,16,16,16
,,,25,Preparing for Your Coaching Session*,,,,18,13,12,11,14,18,16,16,15,15,16,16,18,15,14,17,13,14, ,,17,17,15,,16,15,13,14,17,17,11,14,16,16,16,16,16
,,,50,Feedback On Your Coaching Session*,,,,18,13,12,11,14,18,16,16,15,15,16,16,18,15,14,17,13,14, ,,17,17,15,,16,15,13,14,17,17,11,14,16,16,16,16,17
,100,,,Building the Story of You*,,,,12,,13,12,13,13,,,16,,12,13,16,16,15,,15,13,12,13,12,12,13,14,,,,13,13,12,12,15,,,,,
,100,,,Need Job: Creating Story of You*,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,16,,,,,,,,,,,
,,,100,Your Leadership Tree*,,,,,,,15,17,,17,17,21,18,18,14,18,10,17,,10,16,14,15,15,15,,,17,18,,17,14,11,15,17,13,13,13,13,13
,100,,,Always having a BIG IDEA - your career currency*,,,,14,14,11,,,15,18,18,18,17,17,,17,17,16,15,16,15,13,14,,,14,15,18,17,14,,,,,16,,,,,
,,,50,How to Open Network for Best Results*,,,,16,,,,,16,,,22,19,,,19,18,18,,,,15,17,18,16,17,21,,19,,,,,,20,,,,,
,50,,,Toolkit for Your Career: Standout Resume*,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,21,,,,,,,,,,,
,,,50,Toolkit for Your Career: My References*,,,,,,,,,,,,,22,,,,,,,,,,,,,,18,,22,,,,,,19,,,,,
,50,,,Toolkit for Your Career: LinkedIn Profile Best Practices*,,,,,,,,,,,,,23,,,,,,,,,,,,,,19,,23,,,,,,,,,,,
,50,,,Market Research For My Career*,,,,9,15,,,,10,,,14,13,,,15,,,12,,12,,16,9,9,10,11,,13,15,,,,,18,,,,,
,50,,,Selecting Lanes to Pursue in My Career*,,,,15,,,,,11,,,,14,,,,,,,,,,,,, ,,,14,,,,,,,,,,,
,100,,,Your Top 5 S.T.A.R. Experiences*,,,,,16,,,,,,,17,20,,,,,,,,,,12,13,13,,16,,20,16,,15,13,,23,,,,,
,100,,,Establishing Your Private Koda Vault*,,,,13,17,14,13,18,14,13,13,12,24,14,15,,,,13,17,, ,,14,14,18,17,13,24,17,18,16,14,13,24,,,,,
,50,,,Walk-Around Numbers*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,50,,,Leveraging Your Energy*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Going Deep into Yourself*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Financial Outcomes of Your Career*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,????Making the big personal choices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,????Gaining feedback and adjusting plans (job search),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,????Making impressions in the market (expore/job search),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,100,Community Impact (Time),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,50,,Improving Physical & Mental Health (Time),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,50,,Spiritual or Faith Life (Time),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,50,,Traveling and other activities for pleasure (Time),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,100,My Network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Invite a friend ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Quarterly Updates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Annual Planning ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,My Family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Transitioning out of my company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Long Term Career Planning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,What is your leadership level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Executive making a huge change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Opportunity Costs of my career,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Toolkit for Job Search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Gaining feedback the right way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Generational Wealth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Making Impressions in the market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Me -  the Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Enabling Board of Advisors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ADHOC ACTIVITY TO RECEIVE POINTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,50,,,Updating Professional Goals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,50,,Updating Personal Goals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
