Milestone 1(Complete prelogin),Date of delivery,
User,01/07/2021,
Server setup,,Done
API Project Setup,,Done
Database setup,,Done
Login,,Done
Signup,,Done
forgot password ,,Done
Change password,,Done
Admin/Delivery,,Done
Login,,Done
Milestone 2(Order Booking without payment),,
Home screen ,08/07/2021,Done
Book soundbox and battery,,Done
Admin/Delivery,,Done
Add Soundbox and battery,,Done
New Orders,,Done
Order history,,Done
Order Detail at Admin side ,,Done
Milestone 3(Tracking),,
User can see the tracking of the delivery person by tapping on the buttons,13/07/2021,
Total Earning Admin Side,,Done
Notification ,,Done
Milestone 4(Payment),,Done
Payment Integration,19/07/2021,Done
Epay payment gateway,,Done
Add card ,,Done
Refund payment ,,Done
Neim Verification,,
Point Management(clarification needed) (assumed 1 day of task) ,,Removed by client 
Note: Any Change in workflow or UI will affect the timeline as well as the costing.,,
