S No.,Feature Title,User Story Title,Description,Comments
US_01,"Events << The user will be redirected to event listing screen by selecting on the 'Event' from the option available under hamburger menu.

Note: If the user is exploring this section for the first time, then Thea will help the users to explore this module. Thea will always be the assistance available on each screen.","As a user, I would be able to navigate to Event screen so that I can explore all the options available on this screen.","User should be able to view following options on Events screen:
-  All Events
-  My Events
-  Bookings < with count value of received requests of private events
-  Search
-  Top Domes (Categories)
-  Add New Events
- Go Live (Only on Mobile Application)
   - Schedule Live (Only on website)
   - Global Live
   - My Private Live
",
US_02,All Events,"As a user, I would be able to view all types of event so that I can explore all available options","1. User should be able to view list of all type of public events(Free/Paid) under All Events.
2. User should be able to view following details related to each event:
 - Event Image
 - Status <LIVE/ UPCOMING
 - Time Stamp & Date ( In case of Upcoming events)
 - Title
 - Dome & Sub-dome
 - Price < if Paid (Gold avat coins/ Combination of gold and silver avat coins) else represented as 'Free'.
 - Host Name/Avatar
 - Available spots count < It will keep on decreasing as user will be joining/booking the event.
 - Total number of participants who have joined/booked for the event
Note: 
 User can only view the participants count value, no further details will be available to the user to view.
 User can only view additional details (avatar image, name) only when user is viewing the event when it is LIVE.
 - Abillity to share the event.
 - User will be able to view complete details of each event by tapping on the event section as user will be 
   redirected to event's detail screen.

Note: 
User will not be able to view or search any private event of which he/she is not a participant. User can see the private events list of which he/she is a creator/participant only under My Events/Bookings .

All events will be displayed in chronological order i.e. newest to oldest",
US_03,Event detail,"As a user, I would be able to view event details so that I can have the complete details and take actions as per available options","Note: Event details provided below are w.r.t. both public and private events. Private events list will be accessed under My Events and Bookings sections only.

1. User should be able to view following details on an event's details screen:
 - Event Image
 - Status <LIVE/ UPCOMING/ ENDED/ CANCELLED
 - Type: Public/Private
 - Time Stamp & Date
  Note: If event is Live then 'Started x mins ago' will be shown where x= no. of mins passed from event being 
  live and if the event has ended or will be live in future then the status and date & time stamp will be  
  represented as 'ENDED/GOING LIVE ON: Month date, Year at HH:MM AM/PM
 - Description
 - Dome & Sub-dome
 - Price < if Paid (Gold avat coins/ Combination of gold and silver avat coins) else represented as 'Free'.
 - Host Name/Avatar
 - Total number of participants who have joined/booked for the event
    Note: In case of private event, The no. of participants those have registered out of number of participants 
    who had been invited by the creator for the event will be displayed.
 - More option (Refer US_11)

 - Abillity to share
   Note:No Share option will be available in case the event is private.

  - Ability to join the event via 'Count me in' option if the event is public and  free

 - Ability to book the event via 'Book' option if the event is public and paid. 
-Note: In case of private and paid event, Options to 'Decline' and 'Accept & Pay' will be available.
           In case of private and free event, Options to 'Decline' and 'Accept' will be available for paid event.

Note: 
If the event's LIVE time have began and the host is not available then the participants will be able to view 'Waiting for the host' status on the event's details screen which will be replaced with 'Join Now' option once the host is available.

When the event is cancelled by the creator then user can view the following information on detail screen:
If you have booked this event your money will get refunded. 

User can navigate back to events listing screen through back button available on detail screen of an event.",if 200 slots then how are we showing in detail
US_04,Book a paid event,"As a user, I would like to public events which are paid so that I can watch the event when it is LIVE.","Note: This module describes booking of both public and private paid events.

1. User will have the ability to view 'Book' option available under detail screen of a public paid event.

2. If the event is private then 'Accept & Pay' option will be available to book the event.

3. Once the user has clicked on Book/ Accept & Pay option, user will be prompted with a following details:
3.1. Option to selection payment choice/option if available i.e. Ability to pay for the event using required gold avat coins or combination of gold and silver avat coins.
3.2. Warning statement stating ' By tapping on pay, the amout will be dedcuted.
3.3. Wallet Balance: Total available gold and silver avat coins 
3.4. Ability to pay for the event via available 'Pay' option
3.5 Ability to cancel the booking of the event via available 'Cancel' option.

Note: 
 If the user do not have enough amount to book the event then user will be prompted with Insufficient balance alert and will be asked to add required avat coins.

Once the user had paid for the event the user will be able to see following details on the same detail screen:
Paid status with 'ticked' icon

Ability to uncheck 'Notifiy Me' option as by default Notify Me option will be checked, Unchecking on which user will be prompted with a message 'Are you sure you do not want to receive notfication related to this event'. User can either choose 'Yes' option to get stopped from getting all upcoming notifications related to the event or can choose Cancel option and can continue with receiving the upcoming notifications related to the event.User can change the notification setting in future (before the event is LIVE ) with the help of Notifiy me option.

4. User will receive the notification for the booking confirmation of the event.

5. User will have the ability to view the booked event under 'My Booking' section.

6. User can navigate back to events listing screen through back button available on detail screen of an event.

7. Once user has booked a paid event then both user and event creator will not be able to block each other.",notify me button by default check - mention this and user can opt out of this
US_05,My Events,"As a user, I would like to view all the events created by me and take the required actions as per available options ","1. User should be able to view list of all events created by him/her under My Events .
2. User should be able to view following details related to each event under My Events:
 - Event Image
 - Status <LIVE/ UPCOMING/ ENDED/ CANCELLED
 - Type < Public/Private
 - Time Stamp & Date ( In case of Upcoming events)
 - Title
 - Dome & Sub-dome
 - Price < if Paid (Gold avat coins/ Combination of gold and silver avat coins) else represented as 'Free'.
 - Total number of participants who have joined/booked for the event
Note: In case of private event,The no. of participants those have registered out of number of participants who had been invited by the creator for the event will be displayed and if the event creator has not added all 20 participants then the creator can add remaining participants before the event is live. Creator can do the same with '+' icon available for the same.
3. Abillity to share only public events

4. User will be able to view details of a created event by tapping on it.

5. If the event is about to LIVE then the creator will have an option to 'GO LIVE' on the detail screen of an event.
",
US_06,Bookings,"As a user, I would be like to view all the upcoming events which I have booked and take the required actions ","1. User will be able to view the total counts of the invitations of the private event clicking on which will redirect to the invitation screen as described in US_07.

2. User will be able to view the list of all the Live, scheduled and ended events (Public and Private) with following details:
 - Event Image
 - Status <LIVE/ UPCOMING/ ENDED
 - Time Stamp & Date 
 - Title
 - Dome & Sub-dome
 - Price < if Paid (Gold avat coins/ Combination of gold and silver avat coins) else represented as 'Free'.
 - Total number of participants those have booked the event 
  Note: In case the event is private, it will show: The no. of participants those have registered out of 
  number of participants who had been invited by the creator for the event.

3. Abillity to share public events only.

4. User will be able to view complete details of each event by tapping on the event.

",
US_07,Invitation,"As a user, I would like to view the inviations of all the private events so that I can accept/reject the same ","1. User will be able to view the list of all the live & upcoming private events request with following details:
 - Event Image
 - Status < UPCOMING/ LIVE
 - Time Stamp & Date ( In case of Upcoming events)
 - Title
 - Dome & Sub-dome
 - Price < if Paid (Gold avat coins/ Combination of gold and silver avat coins) else represented as 'Free'.
 - Total no. of participants those have registered out of number of participants who had been invited by the
    creator for the event.

2. Ability to Decline or Accept & Pay for the private paid event requests.
    Note: A confirmation pop-up will appear if user choose to decline the received request.
3. Ability to Decline or Accept for the private free event requests.
   -Note: Refer US_04 to view Book/ Accept & Pay flow for an event ",
US_08,Create a Public Event,"As a user, I should be able to create and host an event so that I can connect with my audience.","The user will have the ability to create:
- Instant live event (Only applicable in mobile application)
- Scheduled live event (Applicable in both mobile application and website)

Please Note: Instant live events cannot be created on the website.

1. Create Instant & Scheduled Live Public Event (Mobile Application)
1.1 Ability to create a instant live public event by entering the details such as:
 - Upload Event Image
 - Event Name/Title (Text Box with a character limit of 50 letters)
 - Domes & Sub-Domes (Drop Down Box) 
   Note:User will also have an ability to request for new domes to the admin by providing the name for the  
   same. 
   Enter dome name (Only alpha characters with 50 characters limit).
   Ability to ""Cancel' or 'Request' for the dome with the available options for the same.
   User will be prompted with success message: Your request has been submitted successfully!
 - Description (Optional,Text Area Field with a character limit of 2000 characters)
 - If Paid Event toggle is ON
   - - Enter amount in gold avatcoins
   - - Discounted price (optional):The event charges set can be a combination of avatcoins and reward points 
        both.
   - - If Paid Event toggle is OFF then the event is Free.
 - Set Private event toggle OFF 
 - Set Schedule for Later toggle OFF
 - After providing above details, user needs to click on 'Continue' option.
 - Once user clicks on 'Continue' option, the creator will have the ability preview the event with an option to GO LIVE

Note: 
-On create event screen,User will be able to view all pre-conditions which he/she fulfill(through green tick) or fails(through red dot) to create a paid event.

-On create event screen,User will be able to view 'Upgrade to Premium' option to become a premium member of the platform.

-When creator tries to discard creation of event by navigating back then user will be prompted with warning message stating: Your changes will be lost if you leave the page.

1.2.Create Scheduled Live Event (Mobile & Web)
 - Upload Event Image
 - Event Name/Title (Text Box with a character limit of 50 letters)
 - Domes (Drop Down Box with multiple selection) 
 Note:User will also have an ability to request for new domes to the admin by providing the name for the  
 same. 
 Enter dome name (Only alpha characters with 50 characters limit).
 Ability to ""Cancel' or 'Request' for the dome with the available options for the same.
 User will be prompted with success message: Your request has been submitted successfully!
 - Description (Optional,Text Area Field with a character limit of 2000 characters)
 - If Paid Event toggle is ON
   - - Enter amount in gold avatcoins
   - - Discounted price (optional):The event charges set can be a combination of avatcoins and reward points 
        both.
   - - If Paid Event toggle is OFF then the event is Free.
 - Set Private event toggle  OFF 
 - Set Schedule for Later toggle ON
    - - Choose Date (Calendar View) 
         Note: Creator will not be able to choose a upcoming date on which his/her premium membership is  
         getting expired.On selecting that particular date, creator will be prompted to renew his/her subscription
         plan in order to creator an event on the required date.
  - - Select Time (HH:MM Format) 
 - Limit on number of audiance (Optional Text Box but if creator is providing the limit then max 500 participants can be allowed if the event is free and 999 participants can be allowed if the event is paid) 
 - After providing above details, user needs to click on 'Create' option.
 - Once user clicks on 'Create' option, the event will be created successfully and the creator can find the same under My Events section. 

Note: 
-Creator will be able to view all pre-conditions which he/she fulfill(through green tick) or fails(through red dot) to create a paid event.

-Creator will be able to view 'Upgrade to Premium' option to become a premium member of the platform.

-Creator can view the details of the event on event's detail screen, similar to as described under :US_02.(except there will be no option to Book or Accept & Pay )
  Note: Creator can view the upcoming event's live time w.r.t. days: hours: minutes too.
When creator tries to discard creation of event by navigating back then user will be prompted with warning message stating: Your changes will be lost if you leave the page.
 
Note: Related to Web:
-If the user goes back or force closes the webpage before creating the event successfully, then all the data will remain unsaved and the user will have to create the event again.

-The user can only create scheduled events through the website. Also, the user will not have the ability to livestream the event on its scheduled date and time through the website, the user will have to login through the mobile version of the platform in order to livestream the event. 

-The user will be able to create paid live events only if they have the subscription plan active (Monthly, Quarterly or Yearly) and meet the minimum basic conditions (Age/Existence on the platform/Number of Followers/ Number of Views).

3. Livestream the event (Only applicable in mobile application)
3.1 The user as the event creator will have the ability to livestream the event by allowing access to the in-app camera. The user will also have the ability to view the following information on the livestreaming screen which are:
 - Event Name
 - Name of the host who is livestreaming the event
 - Dome & Sub dome Name
 - Total number of participants who are watching the event
 - Details of each participant such as user name and user avatar
 - Leaderboard: Top 3 ""number of avatcoins"" gifted based on the total vaue of avatcoin gifted by  a participant
 - Chat (Comment) Window details (User Avatar, User Name, Message typed in text)
Note: It would consists of text message as well as the message regarding the virtual gifts.
3.2 Abililty to pause the livestream. 
Note: When the creator pauses the Live streaming by clicking on 'X' icon then creator will be prompted with an option to either Continue or End the live event. IF creator selects to End the event then he/she will be prompted with a confirmation pop-up : Are you sure you wish to end your live event?. The creator can choose 'Yes' option to end the event or 'Cancel' option to continue with the event.
3.3 Ability to continue the livestream.",
US_09,Create a Private Event,"As a user, I should be able to create and host a private event so that I can connect with my audience.","1. User will have an option to create private scheduled event by allowing certain and specific number of users to join the same.
2. User will have an option to Go Live with private event instantly or by scheduling it for future.
  Note: User can Go Live with private event
3. User needs to enter following details to create a private instant live event:
 - Upload Event Image
 - Event Name/Title (Text Box with a character limit of 50 letters)
 - Domes (Drop Down Box) & Sub-Domes
 - Description (Optional,Text Area Field with a character limit of 2000 characters)
 - If Paid Event toggle is ON then provide below details:
    - - Enter amount in gold avatcoins
    - - Discounted price (optional):The event charges set can be a combination of avatcoins and reward points both.
    - - If Paid Event toggle is OFF then the event is Free.
 - Set Private event toggle  ON
 - Set Schedule for Later toggle OFF
 - Add Participants
           - - List of users who are following the creator will appear with their profile/avatar image and name.
           - - Creator will have the limit to add only 20 participants
           - - Creator will have an option to search a user, the search result will consist of users who are registered on the platform but the creator will not be able to add users who have set their profile visibility as Private
         -Once the creator had added the users, creator can send request to join the event by  clicking on 'SEND INVITATION' Button.
         - The user can view the request of the private event under Event module and under Notification.
           - - User can accept/reject the received request of an event.
         - After providing above details, creator needs to click on 'Continue' option.
 - Once creator clicks on 'Continue' option, the creator will have the ability preview the event with an option to GO LIVE

Note:
When creator tries to discard creation of event by navigating back then user will be prompted with warning message stating: Your changes will be lost if you leave the page.

*User will have an option to Schedule Live as a private event by entering the following details:
Note: User can schedule a live event via Mobile and Web both.
 - Upload Event Image
 - Event Name/Title (Text Box with a character limit of 50 letters)
 - Domes (Drop Down Box) & Sub-Domes
 - Description (Optional,Text Area Field with a character limit of 2000 characters)
 - If Paid Event toggle is ON, user needs to provide below details:
   - - Enter amount in gold avatcoins
   - - Discounted price (optional):The event charges set can be a combination of avatcoins and reward points both.
   - - If Paid Event toggle is OFF then the event is Free.
 - Set Private event toggle ON
 - Set Schedule for Later toggle ON
  - - Choose Date (Calendar View) 
       Note: Creator will not be able to choose a upcoming date on which his/her premium membership is  
       getting expired.On selecting that particular date, creator will be prompted to renew his/her subscription 
       plan in order to creator an event on the required date.
  - - Select Time (HH:MM Format) 
 - Add Participants
           - - List of users who are following the creator will appear with their profile/avatar image and name.
           - - Creator will have the limit to add only 20 participants
           - - Creator will have an option to search a user, the search result will consist of users who are 
                registered on the platform but the creator will not be able to add users who have set their profile 
                visibility as Private
 -Once the creator had added the users, creator can send request to join the event by  clicking on 'SEND INVITATION' Button.
         - The user can view the request of the private event under Event module and under Notification.
             - - User can accept/reject the received request of an event.
         - Once the event is created, the creator can view the event under My Event section.Please 
            refer_US_05 related to it.
            - - The creator can only edit the description of the scheduled event

Note: 
When creator tries to discard creation of event by navigating back then user will be prompted with warning message stating: Your changes will be lost if you leave the page.

Note: Related to Web:
-If the user goes back or force closes the webpage before creating the event successfully, then all the data will remain unsaved and the user will have to create the event again.

-The user can only create scheduled events through the website. Also, the user will not have the ability to livestream the event on its scheduled date and time through the website, the user will have to login through the mobile version of the platform in order to livestream the event. 

* The user will be able to create paid live events only if they have the subscription plan active (Monthly, Quarterly or Yearly) and meet the minimum basic conditions (Age/Existence on the platform/Number of Followers/ Number of Views).",
US_10,Watch Live,"As a user, I should be able to able to watch an ongoing live stream, or register for an upcoming live stream so that I can attend them.","Note: The users will be able to watch the livestream on mobile application and webiste both.

1. Users should be able to watch a live stream by clicking on a Live Stream from the following options:
  - Global Live Page
  - My Private Live Page << In live 

2. Case -1: On-going live stream
  - In case of a free live stream, users should directly be able to enter the live stream.
  - In case of the paid live stream, users should be able to first pay the amount and then should be allowed to enter the live stream.
  - Upon entering the live stream, the user shuld see the following details on the screen
     -> Event Name
     -> Host Username
     -> Host Avatar
     -> Dome & Sub-dome
     -> Free/Paid
     -> No. of Participants who have joined the live event tapping on which would show the list of participants who have joined the live event.
     -> Leaderboard: Top three fans/participants with the highest coin value. Tapping on which will show all the participants who have sent the virtual gifts/coins along with what the person has sent.
         Note:  Fans/Participants who have sent the most gift to the live streamer will receive the Gold, silver and bronze crown and will be highlighted on the live view.
     -> Participants Comments (It would consists of text message as well as the message regarding the virtual gifts).
  - Users will be able to interact with the host through the following
     -> Comment
     -> Virtual Gifts (Users can search a particular virtual gift through the search box)
Note: Virtual Gifts will be in the form of emojis and reactions, for example - heart emoji of 10 avatcoin would give the host 10 avatcoin which could be used throughout the platform.
We will revisit during the design/development how to incorporate the virtual gifts that can be purchased from marketplace.

3. Case 2: Upcoming Live Stream
  - In case of an upcoming free live stream, users should get an option to remind them when the live stream is about to start.
  - In case of an upcoming paid live stream, the user should first pay and then get an option to remind them when the live stream is about to start.
  - Upon entering the live stream, the user should see the following details on the screen
     -> Event Name
     -> Host Username
     -> Host Avatar
     -> Dome & Sub Dome
     -> Free/Paid
     -> No. of Participants who have joined the live event tapping on which would show the list of participants who have joined the live event.
     -> Leaderboard: Top three fans/participants with the highest coin value. Tapping on which will show all the participants who have sent the virtual gifts/coins along with what the person has sent.
     -> Participants Comments (It would consists of text message as well as the message regarding the virtual gifts).
  - Users will be able to interact with the host through the following
     -> Comment
     -> Virtual Gifts
Note: Virtual Gifts will be in the form of emojis and reactions, for example - heart emoji of 10 avatcoin would give the host 10 avatcoin which could be used throughout the platform.


Note: 
-If the user wants to participate in two paid public live stream happening at the same time, then the user should get a notification that they have already registered for one public live stream at the same time and are they sure about it.
-Users can hide their username while watching a live stream from the settings. However, while hiding they will not be allowed to comment on the live stream, but at the same time they can send virtual gifts if they want. (We'll be discussing more about it at the later phases)",
