Expin App Features List,,,,,
Section,S.No,Module,Features,Milestone #,Comments
Influencer Section of Mobile App,1,Sign up,Sign up using Instagram,1,
,,,Step 1 - Profile Information,1,
,,,"Step 2 – Nationality, Country & City Information",1,
,,,Step 3 - Type of Influencer,1,
,2,Profile Verification,Step 1 - Mobile Verification,2,
,,,Step 2 - Email Verification,2,
,,,Step 3 - Upload Screenshots,2,Refer to Change Request.
,3,Menu,Menu Navigation Screen,1,
,4,Stories,Stories Categories List,1,
,,,Story Category Sorting,3,
,,,Stories Experience Sorting ,3,
,,,Visible/ Invisible Restrictions on displaying the Experience on the stories view,2,
,,,Stories view (all Experiences in that story category),1,
,,,Stories view of Particular experience selected,1,
,,,View story (Image/ Video),1,
,,,View Story - Detailed experience View,1,
,,,Slider (Auto progress to notify the image or video going to move on),3,
,5,Experiences Feed Page,Experiences Feed,1,
,,,Visible/ Invisible Restrictions on displaying the Experience ,2,
,,,"Experience Filter (Newest, Ending Soon, Ended)",1,
,,,Action Navigation of Experience Feed page,1,
,,,Experience Status Display on Experience Feed page,1,
,,,Booking Button Label display on Experience Feed page,1,
,6,Experience Detailed view,View Experience Details,1,
,,,"Tab navigation such as  About, Requirements, Availability, and Reviews",1,
,,,Action Navigation of Experience detailed page,2,
,,,Availability Timeslot based on User's Timezone,2,
,,,AVailability Timeslot based on notice period ,2,
,,,Book Experience (Slide to book),2,
,,,Implement differernt cases on Experience Booking,2,"Refer Section ""5.3.5.2.1 Experience Booking"" for details"
,,,Experience Booking based on Merchant's Package subscription,2,"Refer section ""Business Rules to be Implemented on Package""  on Page #50"
,,,Block/ Unblock Merchants,3,
,7,Profile,View Profile Information,2,
,,,"Profile Tab navigation (Personal, Contact, Account)",2,
,,,Get latest Instagram Info on every successful login,2,
,,,Upgrade Plan,3,
,,,Plan selection ,3,
,,,Free Trial subscription,3,
,,,In app purchase (use google play store and apple store to setup),3,
,,,Cancel subscription ,4,
,,,Billing (Payment History ),4,
,,,View Invoice Details,4,
,8,Settings,Notifications settings,5,
,,,Experience Settings,5,
,,,Language preference,5,
,,,Blocked Merchants ,5,
,,,Deactivate account ,5,
,,,Logout,5,
,9,Notifications,Action Needed,4,
,,,Post Review,4,
,,,Timeslot selection approved waiting list booking,4,
,,,Reminders,4,
,10,My Bookings,Upcoming Bookings,3,
,,,Check-In,4,
,,,Cancel Booking,3,
,,,Reschedule Booking,3,
,,,Previous Booking,3,
,,,Post Review,4,
,,,Chat with Merchant ,5,
,11,Help/ FAQ,FAQ list view,5,
,,,Message Us/ Live Chat,5,
,12,My Messages,Message List,5,
,,,Message Thread (Like Chat window ),5,
,,,Post a Message ,5,
,,,Archieved Message,5,
,,,Deleted Message,5,
,13,Push Notification,Notification Message on different cases,4,
Merchant Section of Mobile App,1,Login,,1,
,2,Menu,Navigation Menu,3,
,3,Dashboard,View Bookings by Experience,1,
,,,See Influencers,2,
,,,Approve/ Reject Influencer,2,
,,,Write a Review,4,
,4,Experience Details - Influencer Waiting List View,Action Navigation (like tinder card style),2,
,,,Influencer Profile navigation ,2,
,,,Content,2,
,,,Audience,2,
,,,Reviews,2,
,,,Block Influencer,3,
,,,Blocked Influencer Business Rules,3,
,,,Submit Review about Influencer,4,
,5,Settings,Notifications,5,
,,,Blocked Influencer and Unblock,5,
,,,Language,5,
,,,Logout,5,
,6,My Messages,Messages List,5,
,,,Message Thread (Like Chat Window),5,
,,,Archieved Message,5,
,,,Deleted Message,5,
,,,Push notification on new message received,5,
Web Admin,1,Admin Login,,1,
,2,Manage Influencers,Influencers Pending Approval ,1,
,,,Most Active Influencers,3,
,,,No Show,4,
,,,Top/ Least rated Influencers by Merchant ,4,
,,,No Review/ Pending Reviews,4,
,,,Waiting List ,1,
,3,Mange Merchant,Merchant Pending Approval ,2,
,,,Most/ Least Popular Experience by Merchant ,2,
,,,Top/ Least Rated Experience by Merchant ,4,
,,,Waiting List Experience by Merchant ,2,
,4,Manage Experience (Campaign),Experiences List,1,
,,,View Experience Details,1,
,,,Preview Experience,2,
,,,Approve Expeirence,1,
,,,Reject Experience,1,
,,,Assign Credits,3,
,,,Load Balance,3,
,,,Pending Waiting List,2,
,,,Stats,3,
,,,View Reviews,4,
,5,Manage Bookings,Bookings List,3,
,6,Manage Review,Reviews List,4,
,,,"Review Filter (Approved, Waiting for approval)",4,
,,,Approve Review and show in the app,4,
,,,Reject Review,4,
,7,Manage Type (Influencer Type),Influencer Types List,2,
,,,Add New Type,2,
,,,Edit Type,2,
,,,Delete Type,2,
,8,Manage Admin Users,Admin Users List,3,
,,,Add New Admin User,3,
,,,Edit Admin User,3,
,,,Delete Admin User,3,
Backend/API,1,Creating Database Structure,,1,
,2,Creating API Endpoints,Influencer (Signup/Authentication/Update),1,
,,,Influencer Types,1,
,,,Influencer/Subscription,2,
,,,Influencer/Settings,5,
,,,Influencer/Check-In,3,
,,,Mobile Verification,2,
,,,E-mail Verification,2,
,,,Facebook Connect,2,
,,,Merchant (Signup/Authentication/Update),1,
,,,Merchant/Subscription,2,
,,,Merchant Instagram Account,1,
,,,Experience,1,
,,,Experience/Timeslots,2,
,,,Story,2,
,,,Booking,3,
,,,Languages,5,
,,,Review,4,
,,,Messages,5,
,,,FAQ,5,
,,,Merchant Signup/Authentication,1,
,,,Blockings,3,
,3,Implementing Push Notification Service,Admin (Signup/Authentication/Update),4,
