Feature,Comments,Efforts FE (Hrs),Efforts QA (Hrs)
DA details,It was added later in PRD,240,80
Order options merged from Live and Listing,,,
Bottom Tab management ,preference added at last time,,
"Set preference in bottom tab for order, trip and DA",,,
Insert static scan inscan outscan option in more menu,,,
Resolved issues at LN end for build management at LN side,,,
Product Tour Tags Color on whats new and explore,,,
Rework on links (web pages),,,
Rework on rate chart due to structure changes,need to change according to dev 8,,
"In each form, there are numerous checks and conditions embedded, including account-specific parameters. The extensive functionality of these forms goes beyond what is detailed in the Product Requirement Document (PRD), so we need to carefully examine every aspect by meticulously applying a comprehensive array of conditions obtained from various inspections",,,
"Design updates (Missing designs) according to flow
  DA details
  Empty State Screens
  Territory Flow
  Trip Planning Flow
  Route Form Milestone Design
  Payout card
  Add DA form pincode component
  Add DA form shift timing
  Add DA form additional proof shift timing
  update manifest
  view exception
  toggle state of torch and infrared
  multiple time color chnage of mapView and expand all icon


  
  


  ",,,
Api's and label fetched by inspecting from web,,,
Rework in Trip Detail due to data mismatch in design and PRD,,,
Continuous Scan Functionality implementation,,,
"While the requirement outlines the process for handling conflicts when scanning barcodes like AWB/Order No./Crate Code/Manifest, it unfortunately lacks specificity regarding the types and scenarios of conflicts that may arise. Consequently, we're faced with the challenge of generating and identifying these conflicts, a task that necessitates thorough exploration and validation from various web sources.Ascertaining the diverse array of potential conflicts requires a comprehensive examination of user-generated scenarios, a process that inherently demands time and resources. Given the dynamic nature of user interactions and the myriad of possible scenarios, it's crucial for us to meticulously simulate and analyze each conflict situation to ensure the efficacy of our conflict resolution mechanism.Moreover, without explicit guidance from the PRD, we must exercise prudence in crafting these scenarios to encompass all conceivable situations, from discrepancies in orders to discrepancies in manifests and crate codes. This meticulous approach is essential to guaranteeing a robust conflict resolution screen that adequately addresses the complexities inherent in barcode scanning processes.Therefore, while the task of generating these conflicts may appear straightforward at first glance, it entails a considerable investment of time and effort to ensure that our system can adeptly handle any conflict scenario that may arise in real-world usage.",,,
Activity Log (dropedown and extension of each log),,32,230
Exception tab in order detail since it is not mentioned in prd ,after resolving the exception in order detail it goes hide so AI backnend work on this api,56,
DA timeline (no proper detail of this module ),it was letter explained also frequent change req occur while developer write the code for this module,40,
E2E More options,nothing mentioned in prd it is totally different form normal order more options and multiple condition given by LN team after completion of the. module seprately in excel sheet,56,
Order status,it was not cleard in prd only one line is there,40,
Scan (conflicts),conflicts is not explained in prd only one word is there while it is a big task,96,
Contract master form,some functionality not working perfectly on web and on mobile side AI team put efforts to bifergate the error,24,
Bonus form (bonus slab),bonus slab section must be proper explained in prd but nothing is mentioned there when AI team complete the development then the conditions share by LN team,32,
,the exisitng figma design not able to acheive the requirement expained in prd ,96,
Config API,we have to create config api seprately also it is not in prd (since before this AI team using exisitng api which were not working properly for order status and account wise),160,
DA lisitng advance filter,the funtionality was totally changed by LN team (perviously we are showing advance filter chip on every tab but it has chaned that if user apply advance filter on any tab then the chip will only visible on all tab),56,
,,,
,Total,928,310
