depart,Module,Feature,User Story,Pre-Condition,Acceptance Criteria,Validations,Error cases,Note,Client Comments
US_01,User Onboarding,Splash Screen,"As a user, I want the splash screen and application to show the logo and name, so I can see the application opening.","1. User should have downloaded the application from Playstore/App store.
2. User should have launched the application by clicking on the App icon.","1. The user will be displayed with the Project name App logo and App name in English.

2. The splash screen will be visible for maximum of 2-3 seconds(depending on the appearance).

3. The user will be redirected to 'Intro' screens after viewing the splash screen.

4. Existing users of the App who are already logged in will be displayed with the splash screen and will then be taken to Home Screen of the App. 

Business Rules:
1. Branding Consistency - The splash screen should adhere to the application's branding guidelines, ensuring consistency in terms of logo usage, colors, typography, and overall visual identity.

2. Duration Limitation - The splash screen should have a limited display duration to provide a smooth and efficient user experience. It should load quickly and transition to the main screen promptly to avoid unnecessary delays.

3.  Loading Indicators - The splash screen may incorporate loading indicators or animations to provide visual feedback to the user, indicating that the application is being prepared for use. These indicators should be informative, visually appealing, and appropriately timed.

4. Seamless Transition - The transition from the splash screen to the main screen should be seamless, without any abrupt or jarring visual or functional disruptions. The user should feel a smooth progression from the loading phase to the application's primary interface.

5.  Consistent Brand Messaging - The splash screen can be utilized to convey a concise brand message or tagline that aligns with the application's value proposition or mission. This messaging should be consistent with the overall branding and should be easily comprehensible to the user.

6. Device Orientation Support - The splash screen should adapt to the device's orientation (portrait or landscape) to ensure a visually appealing presentation regardless of how the user holds their device.

7. Responsive Design - The splash screen should be designed responsively to fit different screen sizes and resolutions, providing an optimal visual experience across various devices.

8. Compliance with Platform Guidelines - The design and behavior of the splash screen should adhere to the guidelines and requirements set by the target platform (e.g., iOS Human Interface Guidelines, Android Material Design), ensuring a consistent user experience within the platform's ecosystem.","1. The splash screen should load quickly to ensure a smooth transition.
2. Any necessary data or resources required for the main screen should be preloaded during the splash screen display.","1. Network Connection Issues:
a. The app may encounter a problem connecting to the internet, resulting in a failure to load data or resources needed for the splash screen.
b. This can be due to a weak or unavailable network connection, server issues, or firewall restrictions.
c. Error message : ""Unable to connect to the internet. Please check your network connection and try again.""

2. Backend or Server Errors:
a. This can occur if there are issues with the backend servers, database connectivity, or API integration.
b. Error message ::""Oops! Something went wrong on our servers. Please try again later.""

3. Timeouts or Delays:
a. In some cases, the splash screen may take an extended period to load, or the loading process may time out.
b. This can happen if the app is processing a large amount of data during startup or if there are delays in resource loading.
c. Error message : ""Oops! The app took too long to load. Please try relaunching or contact support for help.""",,
US_02,User Onboarding (New User),Tutorial Screen,"As a user, I want the new user to view the Intro screens with an image and further information about the application in a dynamic form.","1. User should have downloaded the application from Playstore/App store
2. User should have launched the application by clicking on the App icon
3. User should have viewed the splash screen of the application.
","1. The user will see the 3 carousels having images along with the application specific text on the same. 
2. The Images will be dynamic and will change automatically.
3. Once the user has reached the third screen, they will will automatically be redirected to the Login screen
4. These Intro screens will appear for 4-5 seconds 

Business Rules:
1. Only first-time users and users who have reinstalled the application will view this screen.
2. These screens will be dynamic and will keep on changing if updated from the admin panel.
3. The Intro screens content and Image will be configured and managed from the Admin panel.
4. If in a event the server is not responding then in that case defailt ""Intro screen"" will be shown.","1. Tutorial Screen Display:
The tutorial screen should be displayed only for new users or those who have not completed it before.
Users who have previously completed the tutorial should not see it again when they open the app.

2. Swipe Navigation:
Users should be able to swipe left or right on the tutorial screen to navigate between the three images.
The app should smoothly transition between images with a swipe gesture.

3. Skip Functionality:
The tutorial screen should include a prominent ""Skip"" button in a visible location.
When users click on the ""Skip"" button, they should be directed to the app's main interface or home screen.

4. Completing the Tutorial:
Once the user completes the tutorial by swiping through all three images or clicking the ""Skip"" button, the app should mark the tutorial as completed for that user.

5. Caption Content:
Each image in the tutorial should have a concise and informative caption describing the app's features or functionalities.
The captions should be easy to read and understand, providing a clear overview of what the app offers.

6. Tutorial Accessibility:
The tutorial screen should be responsive and accessible on various screen sizes and orientations to accommodate different devices.","1.  Tutorial Unavailable
Description: This error occurs when the tutorial screen is not accessible to the user.
Message:
 ""Oops! The tutorial is currently unavailable. Please try again later.""

2.   Swipe Navigation Error
Description: This error indicates an issue with swiping to navigate between tutorial images.
Message: 
""Oops! There was a problem navigating the tutorial. Please try again.""

3. Unable to Skip Tutorial
Description: This error occurs if the ""Skip"" button fails to function correctly.
Message: 
""Sorry, we couldn't skip the tutorial. Please try again later.""

4. Missing Caption
Description: This error indicates that a caption is missing for one of the tutorial images.
Message:
 ""Oops! A caption is missing for this image. Please check back later.""

5.  Network Connection Issue
Description: This error occurs if there's a problem with the user's network connection while accessing the tutorial.
Message: 
""Please check your internet connection and try again to access the tutorial.""",,
US_03,Onboarding,Sign in ," As a user, I want to Sign In to the application so that I can get myself authenticated and navigate inside the app.","1. The existing user should have the viewed the Splash screen then they will get auto-redirected to the Login screen.
2. The new users must first view the splash screen, then the intro screen, after which they will be automatically redirected to the Login screen.
","On the Login screen the user will view the following details:
1. The user will view the Reel logo along with heading with the specific text on the screen.

2. The user will view the following input fields:

2.1 Enter Phone
- The user can enter their verified email here.
- By default, this field will be empty and will dipslay the text ""Enter your Phone"" in light colour which will be removed once the user starts writing their preference.
 -- The user by clicking on the Country code dropdown will be able to view the Bottom sheet with Select a country heading:
   -- The user will view the Search box clicking on which they will be able to Search for a country by typing
  -- The user will view the list with Country name and code
  
- This field will be the Mandatory field.


3. The user will view the ""Next"" button which will get enabled once the mandatory field is correctly entered.

3.1 By default, the ""Next"" button will be disabled.

3.2 By clicking on ""Next""button the user will get redirected to the ""Verify through OTP screen"".

3.3 On this screen the user the will view following details:

- Enter 4 digit OTP boxes
- The user will view 60 seconds timer
- Once the timer ends the user will view Resend OTP link clicking on which they will be able to view the bottom sheet confirming the user has received the OTP again or not.
- On successfully entering the OTP the user will be able to click on the Submit button which will redirect user to the Homescreen.


Business Rules:
1. If the user is not linked with Reel then in that case while entering the phone and clicking on send OTP the user will view the error message stating ""The user is not linked with exisitng Reel portal.

2. User can request for consecutive 3 code after which they have to wait for 15 minutes to request new code.

Note:
- If user enters wrong OTP, error message will be shown stating ""Invalid OTP""
- I can generate max of 3 OTPs continuously, after 3 attempts I need to wait for a pre-defined time of 15 minutes to get the forgot password and resend buttons to be enabled. ","Phone number
Minimum number of digits for a mobile number is 5 [Country:Saint Helena]
&
Max digits for a mobile number is 13 [Country: Austria ]

Usually country code is 1–3 digits",,,
US_04,Onboarding,OTP Verification,"As a user, I want to verify my OTP so that I can login into the application",The user should be on the login screen and have clicked on send OTP button ,"On this screen the user the will view following details:

- Enter 4 digit OTP boxes
- The user will view 60 seconds timer
- Once the timer ends the user will view Resend OTP link clicking on which they will be able to view the bottom sheet confirming the user has received the OTP again or not.
- On successfully entering the OTP the user will be able to click on the Submit button which will redirect user to the Homescreen.

Note:
- If user enters wrong OTP, error message will be shown stating ""Invalid OTP""
- I can generate max of 3 OTPs continuously, after 3 attempts I need to wait for a pre-defined time of 15 minutes to get the forgot password and resend buttons to be enabled. ","1. OTP Input field will allow Numeric value only.
2. OTP will be of 4 digits.","1. OTP Input field will allow Numeric value only.
2. OTP will be of 4 digits.",,
US_05,Onboarding,Signup,"As a user, I want to signup so that I can access the functionalities as a registered user.","1. The user should have viewed the Splash screen.
2. The user should be on the Login screen then by clicking on the ""Sign Up"" link the user will get redirected to the ""Sign up"" screen.","On the Sign up screen the user will view the following details:
1.  The user will view the ""Welcome"" heading with the specific text on the screen.

2. The user will view the following input fields:

2.1 Enter Full name

2.2 Enter EMAIL

2.3 Enter Phone number
- The user can enter Phone number whichever they want to verify.

2.3.1 If the user starts entering the number then:
 -- By default, +1 country code will be shown.
 -- By tapping on this (+1) the user will view the list of countries with name and country code.
 -- The user will also be able to search by typing the country name/code.
 -- There will be a vertical scroll on the country code popup. 

- By default, this field will be empty and will display the text ""Enter your Phone number "" in light colour which will be removed once the user starts writing their preference.

- This field will be the Mandatory field.

3. The user will also  view the Chechbox for Agreeing to the the application terms on checking the terms and all the mandatory fields the user will be able to view the highlighted Signup button.

4. Once all the above mandatory fields are filled the user will view the ""Signup"" button.

4.1 By default, the Sign up button will be disabled.

5. For an existing user who Already Have An Account, can click on the ""Sign-in"" link by clicking on which they will get redirected to the Login screen.

6. The user after clicking on the Signup button will get reditected to the ""Verify your account"" screen where they will be able to enter the 4 digit OTP receive on their Phone.

Note:
1. As a new user, when I open the application for the first time, I should be presented with a signup screen where I can create a new account. The signup screen should have clear and user-friendly input fields to collect necessary information, such as my name, email address, and a password.

2. The signup screen should also include a checkbox or option to agree to the application's terms and conditions and privacy policy. By checking this option, I understand and accept the terms and conditions set forth by the application.

5. Once the user have successfully completed the signup process, the application should create a new user account associated with the provided Phone no. and securely store my information. I should then be redirected to the application's main screen or guided through an initial onboarding process to personalize my experience and explore its features.

6. By providing a seamless and intuitive signup screen, the application enables me, as a new user, to easily create an account and begin utilizing the application's functionalities, enhancing my overall user experience.

Note:
OTP
- If user enters wrong OTP, error message will be shown stating ""Invalid OTP""
- I can generate max of 3 OTPs continuously, after 3 attempts I need to wait for a pre-defined time of 15 minutes to get the forgot password and resend buttons to be enabled. ","1. First name
- Special characters not allowed
-  Space not allowed

2. Last name
- Space not allowed
- Special characters not  allowed


2. Email ID:
2.1. It should contain “@” and “sub-domain_ name. Domain_name”
2.2. Input allowed: Alphanumeric with special character allowed. No space allowed


3. Phone number
3.1. minimum number of digits for a mobile number is 5 [Country:Saint Helena]
&
Max digits for a mobile number is 13 [Country: Austria ]
Note: Currently only UK and US contries are focused on so the mobile no. digits will be validated accordingly.

3.2 Usually country code is 1–3 digits

","1 If entered Email id/ Phone number is already associated with the platform, the user will be able to view the error message stating "" ""Email/Mobile is already associated with us, please signup using another email/phone."" 
-  Validation: Check if the entered phone or email address is unique and not already associated with an existing account.

2. If entered Email or Mobile is not in a valid format, show error ""Please enter valid email/mobile.""



 ",,
US_06,Onboarding,Verify my account,"As a user, I want to authenticate Mobile Number Via OTP.","1. The user should be on the Signup screen then by clicking on the ""Signup button"" which will redirect them to the Verify your account"" screen","On the verify your account screen the user will view the following details:
1. The user will view the ""Verify your account"" heading with specified text 

2. On this screen user will see the Timer of 120 seconds.

2.1 Upon expiration of the 120secs  timer, the user will see a Resend code text, clicking on the Resend Code to receive another OTP on mobile.
2.2 By default, OTP input field will be empty
 
3. The user will be able to enter the 4 digit OTP which they have received on their Mobile.

3.1 The user will be able to view the ""Resend"" text link after the expiration of 120secs  timer.

3.2 Each time the user enters the OTP incorrectly, a toast message will appear.

4. After entering the OTP, the user will view the enabled ""Verify OTP"" button clicking on which they will be navigated to the ""Help us to know you more"" screen.


Brief:
1. The application should verify the authenticity of the verification OTP and mark my account as verified upon successful validation. If the verification OTP is invalid or has expired, an appropriate error message should be displayed, guiding me to request a new verification link.

2. Once my account is successfully verified, the user should be able to log in and access the application's features and functionalities without any restrictions. The application should provide a clear confirmation message indicating that my account has been verified and is ready for use.

Note:
- If user enters wrong OTP, error message will be shown stating ""Invalid OTP""
- I can generate max of 3 OTPs continuously, after 3 attempts I need to wait for a pre-defined time of 15 minutes to get the forgot password and resend buttons to be enabled. 
","1. OTP Input field will allow Numeric value only.
2. OTP will be of 4 digits.
3. The verification OTP should be valid for a specified period to ensure timely verification and account activation.
4. Only unique and valid email addresses should be allowed during the signup process to prevent potential issues with account verification

OTP
- If user enters wrong OTP, error message will be shown stating ""Invalid OTP""
- I can generate max of 3 OTPs continuously, after 3 attempts I need to wait for a pre-defined time of 15 minutes to get the forgot password and resend buttons to be enabled.","1. If user enters wrong OTP, error message will be shown stating ""Invalid OTP

2. ""Error: OTP Delivery Failed
- This error message indicates that there was a problem delivering the OTP to your phone number",,
US_07,Onboarding,Select Department ,"As a user, I want to see a list of available departments so I can choose them and proceed with my selected vendor based on my department choice.",The user should have successfully verified their phone number then they will be redirected to Select Department screen ,"The user will view the following options:
1. Studio
2. Production co.
3. Freelance

- On selecting any of the above the user can click on the continue button clicking on which they can view the list of options.
ex. Lets say if the user has selected the Studio then the user will view the list of Studio.
-- On clicking Continue the user will get redirected to the select Department screen.

- The user will then view the list of Departments with Image and name
- Production Management
- Casting
- Locations
- Art Department/Props
- Costume Department
- Makeup and Hair
- Cinematography
- Sound Departmen
- Special Effects/Visual Effects
- Camera Department
- Grip and Electric
- Sound Crew
- Costume and Makeup
- Editing
- Sound Post-Production
- Visual Effects (VFX) - Post
- Music and Score
- Color Grading
- Distribution and Marketing
- Legal and Finance
- Animal trainers
- Stunt coordinators
- Health & Safety
- Sustainability

2. The user will be able to view the Image with all the above mentioned departments
3. The user will be able to tap on the departments to select them an the selected departments will be shown with Right tick over it.
4. The user will be able to select the multiple Departments and on the basis of selected departments the user can view the Vendors onn the homescreen

5. By default no departments will be selected


Business Rules:
1. The user can select Minimum 2 or Maximum of 7 departments to proceed.

Note:
Need to show functionality in the App to ask for permission to access gallery, camera, and location. These permissions ensure that only trusted applications can access sensitive information on the device, protecting your privacy and security. When granting permissions, it's a good practice to review why an app needs access to these features before allowing it. That way, you can be sure that your personal data is used appropriately.",,,,
US_08,Onboarding,Select Positions,"As a user, I want to select the Positions so that i can get the suggestions on the basis of it",The user must have selected the Department and by clicking on which they get redirected to the Select Positions screen,"1. The user will view the list of Positions with a checkbox 
2. The user will be able to select the multiple positions
- By default, there will be no selected Positions

3. The user will be able to click on the Continue button by clicking on which the user gets redirected to the Profile Setup screen.

Note: Min. 1 and Max. 10 postion can be selected.",,,,
US_09,Profile Setup,Profile Setup,"As a user, I want to set up my Profile picture so that it may help production  team to recognise",The new user must have selected the Departments from the  list and on cicking the continue button the user wil get redirected to the Profile setup screen,"The user will view the following details :'

1. The user will view the Profile Image placeholder clicking on which they will be able to upload the image.

- The image once uploaded the user will be able to view the edit icon clicking on which they will be able to update the image.
2.The user will view the Continue button clicking on which they will be able to upload the Profile picture.
- On clicking Continue the user have to give the Gallery Permissions
2.1 The user can also click on the Skip link by clicking on which the user will view the successfull message.


Note:
Need to show functionality in the App to ask for permission to access gallery, camera, and location. These permissions ensure that only trusted applications can access sensitive information on the device, protecting your privacy and security. When granting permissions, it's a good practice to review why an app needs access to these features before allowing it. That way, you can be sure that your personal data is used appropriately.","- Profile Image: 
* Size:  Max 3 MB
** Following error message should be prompted if the uploaded image is more than 3 MB , ""Max. 3 MB file size allowed"".

* Type:  png/jpg/jpeg
** Following error message should be prompted if the uploaded image type is not supported  , ""Only png/jpg/jpeg file type allowed"".

Need to show functionality in the App to ask for permission to access gallery, camera, and location. These permissions ensure that only trusted applications can access sensitive information on the device, protecting your privacy and security. When granting permissions, it's a good practice to review why an app needs access to these features before allowing it. That way, you can be sure that your personal data is used appropriately.",,,
US_10,Homescreen,Homescreen,"As a user, I want to access the Home section so that I can see all the Vendors  details and Send Quote","1. The exiting user must have tapped on the icon from their phone which will redirect them to the Homescreen.

2. The new user have to register themsleves on the application to get redirected to the homescreen,    ","- Verify that after sucecssfull on-boarding and before landing on the Home Screen, user will be prompted to allow current location access and deny which will lead to closure of the application. User can only access application after allowing the current location access. 

On the Homescreen the user will view the following details:
1. Hamburger Menu
2. Notifications Icon
3. Cart 
4. Current Address (with an ability to change it if the addresses already exist. Ref US_19)
Note: User will have the ability to select any one address from the below list:
* Current address
* Manually added address
* Production set location.
User wiill have an ability to add new address or mark any one location as Primary location which can't be deleted. For the first time, user current location will work as Primary location. 
5. The user will be able to view the Search box clicking on which they will get redircted to the Search screen (Ref. US_10)

6. The user will then view the My Departments section where they will be able to view the list of departmens that they have selected while registering for the application
6.1 The user will also view the count of the Departments that they have chosen while regstering
6.2 The user by clicking on the Department count will get redirected to the Select Department screen where they will view the list of all the departments with selected ones with a Right tick
6.2.1 The user will be able to update the Selected departments followed by confirming the positions list as well.

6.2.2 The user will be able to update their preferences of Department here.

6.3 The user will also view the list of categories list w.r.t. selected Departments on horizontal scroll. Based on Department updates the categories will get updated accordingly.
6.4 When user will click on any specific category, accordingly the products and services list will get updated. 
7. The user will view the preferred vendors with following details:
7.1 The user will view the Vendor name , Location (In form City, State)
7.2 There will be a horizontal view
7.3 The user will view the preferred vendors on the basis of Departments they have selected and near-by location. 
-If the vendor is related to a selected department but not available in near-by location of the user then vendor will not be displayed.
- The following message will be displayed if no vendor is available within the selected location: No preferred vendor available in your area. Please come back soon to try again.
7.4 On clicking the vendor Card the user will get redirected to the Vendor details screen (US_11)
7.5 The user will also have the View all link clicking on which they will get redirected to the Preferred Vendor listing screen.

8. The user will be able to view the all the Product card with following options:
8.1 Image of the product
8.2 Product name 
8.3 Product type tag > ( Rent, Buy, Rent/Buy) 
8.4 Product price (Will be shown with discounted price if applied). 
Note: Two different prices will be displayed if product is available for both buy and rent.
 At vendor end, the vendor will provide only original price, % off value and accoridingly the final price will be reflected on the app end.

8.5 The user will also view the discount % on the card
8.6  The user by clicking on the Product card will get redirected to the Product detail screen where they can view all the details related to the product
8.7 The user will also have the View all link clicking on which they will get redirected to the Product listing screen.
Note: The Products list will be displayed on the basis of its availability of vendor w.r.t. near-by location of the user. If a product is not available in near-by location of the user then it will not be displayed.
- The following message will be displayed if no product is available within the selected location: No product available in your area. Please come back soon to try again.


9. The user will then view the Banner Image with title and short description
9.1 The Banner image will be managed from the Admi panel
9.2 There will be a Single Banner Image with no redirection to any other screen by any click.


10. The user will be able to view all the Service card with following options:
10.1 Image of the Service 
10.2 Service name with short description
10.3 Service price (Will be show with original and discounted prices if applied)
10.4  The user by clicking on the Service card will get redirected to the Service detail screen where they can view all the details related to the product
10.5 The user will also have the View all link clicking on which they will get redirected to the Service listing screen.
Note: The Services list will be displayed on the basis of its availability w.r.t. near-by location of the user. If a service is not available in near-by location of the user then it will not be displayed.

Business Rules
1. The user will view the departments count on the My Department by clicking on which they get redirected to Select department screen
1.1 The user will view the Preferred Vendors on the basis of Selected Departments and his current location
2. The user will be able to view the Products and Services on the basis of Location selected.

3. My Preferred Vendor: Based on Department selected in on-boarding process and vendor lying near-by user location, accordingly the vendors will be displayed.If the vendor is related to a selected department but not available in near-by location of the user then the vendor will not be displayed.
3.2 Products display: All products available to the near-by location of the user will be displayed.
3.3 Services: Only services which are available near-by user location.",,,,
