,,DEV COMMENT,
Personal Info,Change copy to: Please register yourself. Your information is safe in Koda. ,"Couldn't find, i think we have updated the flow",
Professional Info,"Change to: Abby, let's start with......",,
"""Thanks for sharing your information"" EMAIL","Change second sentence to: Now, based on your answers we are going to put together your personalized journey.",,
Career Plan,"My Personal Inventory: ""Let's maintain a track record of your rewards and compensation."" ",,
Values and Purpose,Values selection page: delete the three questions at the bottom and replace with open text box with prompt: “Why is each of these important to you?”,,
Energy,Change the milestone title of “Maximizing Your Energy Superpower” to “Leveraging Your Energy”,,
Building the Story of You,This standalone milestone is now ready to be added. The script is in Confluence and the rest of the screens can be found here: https://docs.google.com/document/d/1IOhmzKje4ty0fSs0KcxO-w4kHj_RnHc71zEhRWH0taM/edit#,,
Going Deeper into You: Taking the Hogan Assessment,This standalone milestone is now ready to be added. The script is in Confluence and the rest of the screens can be found here: https://docs.google.com/document/d/1IOhmzKje4ty0fSs0KcxO-w4kHj_RnHc71zEhRWH0taM/edit#,,
Career Plan> My Values ,"Update values list from confluence, add hover desciptors, remove bottom text starting with ""Here's how you can think.....""",,
Emails not updated yet with new text,Ro has new email content from Ali,,
Update welcome screen for advisor,,Won't do,
Career Plan>My Goals,"Professional Prioritized Goals (Header)
What are your current PROFESSIONAL Prioritized Goals? (title)
Select up to three that you will work on more later in Koda: (que)",Won't do,
,,,
,,,
Career Plan>My Goals,"Personal Prioritized Goals (Header)

Screen Title: What are your current PERSONAL Prioritized Goals related to your WORK and LIFE? Next line: Choose up to two for your Personal Goals related to WORK and two for your Personal Goals related to LIFE:
",,
,,,
,,,
Board of Advisor App Welcome Screen (after Dani screens),"Maximizing Talent
Thank you for accepting the important role of Advisor!
We want people to find JOY in their work by intentionally pursuing their life’s purpose–with ongoing guidance, support, and personal accountability.
We want you as an Advisor to have a big impact yet with an efficient use of your time. By signing in you will be placed into your talent's Chat room for private discussions regarding the goals they want to achieve.

Welcome!
Koda is the career management solution focused on each individual talent.
Create an account to get started.","Can't Understand 


We have same onboarding for user and advisor",
,,,
,,,
,,,
,,,
,,,
,,,
,,,
"Remove ""prioritized"" in onboarding quesitons screens ",,Can't Understand,
Certifications Title,Add certifications below: (Name - Date of certification),,TBD
Capitalize 'L' in Library on Koda Library on Home screen,Text Update,Low,Done
match the Issues tags in Airtable to the app - see bottom for details,Text Update,High,
