Feature,days ,Assignee
,,
Bonus Slab (Slab condition and reopen scenarios),3,Kamal & Tanmay
Update Bonus (Currently blocked not working),1,Tanmay
"Copy Bonus (Prefill and all condition handling, Currently not working at all)",3,Harsh & Tanmay
,,
Contract Master bug fixes,1,Tanmay
"Payment Transaction download report iOS issue 
Download Report overall issue",0.5,Harsh
Dropdown check at several places remove selected value (bonus and contract master),0.5,Kamal
Selected dropdown values to be shown on reopen (similar issue reported by LN for M1-M4 will be donw with that),0.5,Kamal
Territories 12 bugs on jira,0.5,Harsh (Rahul)
Rate Chart Completion,9,Harsh & Kamal
Rate Profile Completion,9,Harsh & Kamal
Error States all M5,4,All
